what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101501608
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1290101515776
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290101519844
started,bundle,org.eclipse.datatools.connectivity,1.2.1.v201007142147,"org.eclipse.datatools.connectivity",1290101522813
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.0.v201006250003,"org.eclipse.datatools.connectivity.ui",1290101522817
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1290101522818
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201006242214,"org.eclipse.datatools.enablement.ingres.ui",1290101522846
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.1.v201008120113,"org.eclipse.datatools.connectivity.sqm.core",1290101523110
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1290101523136
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1290101523264
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1290101523333
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1290101526826
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101535623
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1290101554634
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1290101605834
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101605926
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101623805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101629890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101646898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101708190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101712431
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101770213
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1290101772124
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101793750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101818952
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1290101823916
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1290101823928
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1290101823996
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1290101823999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101827976
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101852911
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101890207
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101927103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101930150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101970704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290101976436
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1290102091886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102091982
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1290102093315
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1290102100574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102105417
started,bundle,org.eclipse.wst.common.modulecore.ui,1.0.2.v201009010400,"org.eclipse.wst.common.modulecore.ui",1290102126736
started,bundle,org.eclipse.jst.common.ui,1.0.2.v201009080200,"org.eclipse.jst.common.ui",1290102126810
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1290102151061
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102151128
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102179545
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102770035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102779722
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102827658
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1290102849773
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102860665
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102902925
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.stop",1290102907590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102914628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102966592
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102990906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1290102997432
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290102997528
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290103013094
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290103159994
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1290103174394
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290103186104
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAs",1290103210639
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290103210733
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1290103214892
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290103220121
